

lambda(m), Y
1e-06, 0.923649
9.85149e-07, 0.895648
9.70732e-07, 0.877834
9.56731e-07, 0.844763
9.43128e-07, 0.827652
9.29907e-07, 0.839625
9.17051e-07, 0.858588
9.04545e-07, 0.867997
8.92377e-07, 0.842651
8.80531e-07, 0.814225
8.68996e-07, 0.788122
8.57759e-07, 0.761549
8.46809e-07, 0.757027
8.36134e-07, 0.757569
8.25726e-07, 0.774193
8.15574e-07, 0.795404
8.05668e-07, 0.796718
7.96e-07, 0.803408
7.86561e-07, 0.808835
7.77344e-07, 0.809261
7.6834e-07, 0.810035
7.59542e-07, 0.813569
7.50943e-07, 0.825433
7.42537e-07, 0.823696
7.34317e-07, 0.831146
7.26277e-07, 0.854803
7.18412e-07, 0.858897
7.10714e-07, 0.869232
7.0318e-07, 0.886322
6.95804e-07, 0.882492
6.88581e-07, 0.880268
6.81507e-07, 0.892385
6.74576e-07, 0.907601
6.67785e-07, 0.915916
6.6113e-07, 0.917592
6.54605e-07, 0.917998
6.48208e-07, 0.918279
6.41935e-07, 0.923102
6.35783e-07, 0.930113
6.29747e-07, 0.935392
6.23824e-07, 0.939096
6.18012e-07, 0.940727
6.12308e-07, 0.942025
6.06707e-07, 0.940773
6.01208e-07, 0.938208
5.95808e-07, 0.935932
5.90504e-07, 0.931866
5.85294e-07, 0.927825
5.80175e-07, 0.922414
5.75145e-07, 0.915717
5.70201e-07, 0.908649
5.65341e-07, 0.899733
5.60563e-07, 0.890475
5.55866e-07, 0.879916
5.51247e-07, 0.868248
5.46703e-07, 0.856255
5.42234e-07, 0.843078
5.37838e-07, 0.829991
5.33512e-07, 0.816167
5.29255e-07, 0.801919
5.25066e-07, 0.787818
5.20942e-07, 0.773052
5.16883e-07, 0.758665
5.12887e-07, 0.744019
5.08951e-07, 0.729341
5.05076e-07, 0.715008
5.01259e-07, 0.700322
4.975e-07, 0.686074
4.93797e-07, 0.671677
4.90148e-07, 0.657274
4.86553e-07, 0.643114
4.8301e-07, 0.628593
4.79518e-07, 0.614346
4.76077e-07, 0.599889
4.72684e-07, 0.585347
4.6934e-07, 0.570975
4.66042e-07, 0.556316
4.62791e-07, 0.541962
4.59584e-07, 0.527607
4.56422e-07, 0.513421
4.53303e-07, 0.499724
4.50226e-07, 0.486194
4.47191e-07, 0.47338
4.44196e-07, 0.461085
4.41242e-07, 0.449431
4.38326e-07, 0.438697
4.35449e-07, 0.428618
4.32609e-07, 0.419658
4.29806e-07, 0.411641
4.27039e-07, 0.404598
4.24307e-07, 0.398724
4.2161e-07, 0.393683
4.18947e-07, 0.389761
4.16318e-07, 0.386787
4.13721e-07, 0.384764
4.11157e-07, 0.383749
4.08624e-07, 0.38336
4.06122e-07, 0.383855
4.03651e-07, 0.384842
4.0121e-07, 0.386273
3.98798e-07, 0.388504
3.96414e-07, 0.390939
3.94059e-07, 0.393724
3.91732e-07, 0.396966
3.89432e-07, 0.40055
3.8716e-07, 0.404648
3.84913e-07, 0.40896
3.82692e-07, 0.413705
3.80497e-07, 0.418881
3.78327e-07, 0.424372
3.76181e-07, 0.430462
3.7406e-07, 0.436905
3.71963e-07, 0.4439
3.69888e-07, 0.451459
3.67837e-07, 0.459432
3.65809e-07, 0.468087
3.63803e-07, 0.47715
3.61818e-07, 0.486746
3.59855e-07, 0.496853
3.57914e-07, 0.507222
3.55993e-07, 0.518052
3.54093e-07, 0.528996
3.52212e-07, 0.540076
3.50352e-07, 0.551226
3.48511e-07, 0.562115
3.4669e-07, 0.572901
3.44887e-07, 0.583218
3.43103e-07, 0.593048
3.41338e-07, 0.602346
3.3959e-07, 0.610758
3.37861e-07, 0.618427
3.36149e-07, 0.624949
3.34454e-07, 0.630155
3.32776e-07, 0.633807
3.31115e-07, 0.635144
3.2947e-07, 0.633696
3.27842e-07, 0.628178
3.2623e-07, 0.617155
3.24633e-07, 0.59896
3.23052e-07, 0.571647
3.21486e-07, 0.535076
3.19936e-07, 0.491801
3.184e-07, 0.448136
3.16879e-07, 0.410629
3.15372e-07, 0.38083
3.1388e-07, 0.356512
3.12402e-07, 0.335014
3.10938e-07, 0.315554
3.09487e-07, 0.2985
3.0805e-07, 0.283944
3.06626e-07, 0.272033
3.05215e-07, 0.262439
3.03817e-07, 0.254895
3.02432e-07, 0.249239
3.01059e-07, 0.245076
2.99699e-07, 0.242359
2.98351e-07, 0.240784
2.97015e-07, 0.240199
2.95691e-07, 0.240534
2.94379e-07, 0.241511
2.93078e-07, 0.24319
2.91789e-07, 0.245359
2.90511e-07, 0.247986
2.89244e-07, 0.251082
2.87988e-07, 0.254458
2.86744e-07, 0.258258
2.85509e-07, 0.262321
2.84286e-07, 0.266679
2.83073e-07, 0.27138
2.8187e-07, 0.276262
2.80677e-07, 0.281504
2.79494e-07, 0.286941
2.78322e-07, 0.292622
2.77159e-07, 0.298592
2.76006e-07, 0.304675
2.74862e-07, 0.31105
2.73728e-07, 0.317525
2.72603e-07, 0.324137
2.71487e-07, 0.330916
2.7038e-07, 0.337654
2.69283e-07, 0.344532
2.68194e-07, 0.351333
2.67114e-07, 0.358092
2.66043e-07, 0.364849
2.6498e-07, 0.371389
2.63926e-07, 0.377934
2.6288e-07, 0.38428
2.61842e-07, 0.390499
2.60813e-07, 0.396691
2.59791e-07, 0.402664
2.58778e-07, 0.40871
2.57772e-07, 0.414665
2.56774e-07, 0.420638
2.55784e-07, 0.426785
2.54802e-07, 0.432912
2.53827e-07, 0.439351
2.52859e-07, 0.445931
2.51899e-07, 0.452738
2.50946e-07, 0.45993
2.5e-07, 0.467239


